eng	fra
Don't cheat.	Ne trichez pas.
Get on the bus.	Monte dans le bus !
Happy New Year!	Heureuse année !
Are you a model?	Es-tu mannequin ?
We've seen her.	Nous l'avons vu.
Water, please.	De l'eau, je vous prie.
She avoids me.	Elle m'évite.
We're normal.	Nous sommes normaux.
You're upset.	Tu es contrariée.
Do you love me?	Est-ce que tu m'aimes ?
It's a surprise.	C'est une surprise.
I want to drive.	Je veux conduire.
I lost the bet.	Je perdis le pari.
Come help me.	Venez m'aider.
You can rest.	Vous pouvez vous reposer.
Tom sweated.	Tom a transpiré.
Are you Chinese?	Vous êtes chinois ?
He's a bigot.	C'est un illuminé.
I abhor spiders.	J'ai horreur des araignées.
You were great.	Tu as été super.
A boat capsized.	Un bateau a chaviré.
Are you Chinese?	Es-tu Chinois ?
Tom can't win.	Tom ne peux pas gagner.
I will stop you.	Je vous arrêterai.
How thrilling!	Comme c'est excitant !
I'm starved.	J'ai l'estomac dans les talons.
Don't do that.	Ne fais pas ça.
We must speak.	Il nous faut nous parler.
You tried.	Vous avez essayé.
Be watchful.	Soyez prudente !
Go to bed.	Allez au lit !
I love winter.	J'adore l'hiver.
I want cash.	Je veux du liquide.
Look around.	Regarde autour de toi.
It's still mine.	C'est néanmoins la mienne.
No one noticed.	Personne ne le remarqua.
I'm pooped.	Je suis crevé.
You're funny.	Vous êtes marrants.
That's not why.	Ce n'est pas la raison.
We survived.	Nous survécûmes.
It sounds crazy.	Ça semble dingue.
She liked that.	Elle l'apprécia.
How are you?	Comment vas-tu ?
She was brave.	Elle était brave.
I'm just tired.	Je suis seulement fatiguée.
It's inadequate.	C'est inadapté.
Anyone home?	Qui que ce soit est-il à la maison ?
You're psychic.	Tu es voyante.
You're rude.	Tu es grossière.
How annoying!	C'est bien embêtant !
It's business.	Ce sont les affaires.
We're stuck.	Nous sommes coincés.
I hate her now.	Maintenant, je la déteste.
He was wrong.	Il avait tort.
We must leave.	Il nous faut partir.
Catch Tom.	Attrape Tom.
I was warned.	On m'a prévenue.
It's just a fad.	Ce n'est qu'une mode passagère.
You look busy.	Tu as l'air occupée.
Show me.	Montre-moi !
I drank a lot.	J'ai beaucoup bu.
I like talking.	J'aime parler.
Do I annoy you?	Est-ce que je t'ennuie ?
I corrected it.	Je l'ai corrigée.
I must leave.	Je dois partir.
I love jokes.	J'adore les blagues.
Who is it?	Qui est-ce ?
Did she like it?	Elle a aimé ?
Where's an ATM?	Où y a-t-il un DAB ?
Hold my hand.	Tiens ma main.
I like running.	J'aime courir.
Come with me.	Viens avec moi.
I feel fine.	Je me sens bien.
Stop Tom.	Arrête Tom.
Let's proceed.	Commençons.
Go see a doctor.	Va voir un médecin !
I'm expecting.	Je suis enceinte.
It's not enough.	Ce n'est pas suffisant.
May I go?	Puis-je y aller ?
Bring it to me.	Apportez-le-moi.
She got up late.	Elle s'est levée tard.
Remember it.	Souviens-en-toi.
Just try it out.	Essaie-le simplement !
You're invited.	Vous êtes invités.
We'll attend.	Nous y assisterons.
I've won.	Je l'ai emporté.
I hesitated.	J’ai hésité.
He did it again.	Il a recommencé.
It made sense.	C'était logique.
I totally agree.	Je suis totalement d'accord.
They let me go.	Elles me laissèrent partir.
You're elusive.	Tu es insaisissable.
I'll try.	Je vais essayer.
I got dumped.	J'ai été largué.
Take it, please.	Prenez ça, s'il vous plaît.
It was superb.	Ce fut magnifique.
What a nerve!	Quel toupet !
Who are you?	Qui êtes-vous ?
We can try.	Nous pouvons tenter.
Don't interfere.	Ne vous en mêlez pas !
Let me go.	Laissez-moi partir !
I feel sick.	Je me sens mal.
I can't do it.	Je n'y parviens pas.
Let's turn back.	Retournons !
Close that door.	Fermez cette porte !
Be content.	Sois satisfaite !
I love the sun.	J'adore le soleil.
I was ready.	J'étais prête.
I wasn't joking.	Je n'étais pas en train de plaisanter.
We are all set.	Nous sommes toutes prêtes.
Is Tom well?	Est-ce que Tom va bien ?
I play baseball.	Je joue au baseball.
Tom can do it.	Tom peut le faire.
I want to do it.	Je veux le faire.
Are they tall?	Sont-ils grands ?
I must go.	Il me faut y aller.
Hand it over.	Remets-le.
Get out of bed.	Sortez du lit !
I'm fearless.	Je suis intrépide.
Look at this.	Regardez ça !
Congratulations!	Félicitations !
Keep working.	Continue à travailler !
Hi, guys.	Salut, les mecs !
That is mine.	C'est la mienne.
Don't be crazy.	Ne soyez pas fou !
I never bet.	Je n'ai jamais parié.
She overslept.	Elle n'a pas entendu le réveil.
They're lying.	Elles mentent.
They all drank.	Elles ont toutes bu.
It was a joke.	C'était une blague.
It'll be easy.	Ça va être facile.
I forgot my key.	J'ai oublié ma clé.
I'm in the car.	Je suis dans la voiture.
I'm shy.	Je suis timide.
I like talking.	Je me plais à causer.
Do that for me.	Fais ça pour moi.
Take a chance.	Essaie !
I finished last.	J'ai terminé dernier.
Did I break it?	L'ai-je cassée ?
Do me a favor.	Fais-moi une faveur.
I'm trying.	J'essaie.
He's after me.	Il est après mes fesses.
She's innocent.	Elle est innocente.
This is tricky.	C'est délicat.
The ice melted.	La glace a fondu.
He walked away.	Il partit.
I'm not alone.	Je ne suis pas seul.
I don't mind.	Cela m'est égal.
I rang the bell.	J'ai fait résonner la cloche.
He stood up.	Il s'est levé.
I was horrified.	Je fus horrifié.
I outrank you.	J'ai la priorité sur toi.
Give me a week.	Donnez-moi une semaine.
Get your gear.	Va chercher ta tenue !
We lost.	Nous fûmes défaits.
Can you see Tom?	Peux-tu voir Tom ?
Do you disagree?	N'es-tu pas d'accord ?
He is ill.	Il est malade.
I'm unbiased.	Je suis impartial.
Who wants that?	Qui veut ça ?
Know your enemy.	Il faut connaître son ennemi.
I made rice.	J'ai fait du riz.
I ran outside.	Quant à moi, je courus dehors.
We're all here.	Nous sommes tous là.
I went twice.	Je m'y suis rendue à deux reprises.
That was cool.	C'était cool.
Get up.	Lève-toi.
I need proof.	Il me faut des preuves.
That's rubbish.	C'est absurde.
I was horrified.	Je fus horrifiée.
I quite agree.	Je suis tout à fait d'accord.
Tom will swim.	Tom nagera.
He's an author.	Il est auteur.
She cried.	Elle pleurait.
He hugged her.	Il l'a enlacée.
That suits me.	Ça m'arrange.
I was drunk.	J'étais ivre.
I said sit down.	J’ai dit de s’asseoir.
Go get changed.	Va te changer !
I'll grab it.	Je le saisirai.
Hi.	Salut !
I'm not a child.	Je ne suis pas un enfant.
I went hiking.	Je suis partie en excursion.
Beats me.	Aucune idée.
Who's driving?	Qui est au volant ?
We'll both go.	Nous irons tous les deux.
It's funny.	C'est drôle.
I'm contented.	Me voilà satisfaite.
Don't litter!	Ne pas déverser d'immondices !
I'm blessed.	Je suis béni.
We did it!	Nous avons réussi !
Come get me.	Venez me chercher.
Save yourself.	Sauve-toi !
Remove your hat.	Ôte ton chapeau !
Drop the gun.	Lâche l'arme !
Tom will check.	Tom vérifiera.
She had twins.	Elle a eu des jumeaux.
I missed supper.	J'ai loupé le souper.
I made that one.	J'ai fait celle-là.
Don't say that.	Ne dites pas ça.
Don't gloat.	Ne jubilez pas !
Don't bother.	Ne dérange pas.
I love your son.	Je suis amoureuse de votre fils.
Let's ask them.	Demandons-leur.
She choked him.	Elle l'étrangla.
We laugh a lot.	Nous avons beaucoup ri.
Did you miss me?	Vous ai-je manqué ?
He sounds angry.	Il a l'air en colère.
We were right.	Nous avions raison.
I'm a priest.	Je suis prêtre.
I was a member.	J'étais membre.
Answer Tom.	Réponds à Tom.
Do it tomorrow.	Fais-le demain !
Are you deaf?	Es-tu sourde ?
You're bright.	Vous êtes brillants.
Be calm.	Soyez calme !
It's garbage.	Ce sont des détritus.
I want a chair.	Je désire une chaise.
Was it a joke?	Était-ce une blague ?
I'm not a child.	Je ne suis pas une enfant.
I live nearby.	Je vis à proximité.
Who helps her?	Qui l'aide ?
We met today.	Nous nous sommes rencontrées aujourd'hui.
I am an artist.	Je suis un artiste.
It's not enough.	Ce n'est pas assez.
Am I first?	Suis-je la première ?
I moaned.	J’ai râlé.
I caused this.	Je l'ai causé.
Come back.	Reviens !
I'll pack.	Je ferai ma valise.
Kiss me.	Embrassez-moi.
Is it cloudy?	Est-ce nuageux ?
You're naive.	Tu es naïve.
Don't cheat him.	Ne le trompe pas.
Our eyes met.	Nos yeux se sont croisés.
We have a plan.	Nous avons un plan.
Get rid of her.	Débarrasse-toi d'elle !
We needed help.	Nous avions besoin d'aide.
I can get us in.	Je peux nous faire rentrer.
I'm clean.	Je suis propre.
I'll play along.	Je ferai semblant de coopérer.
Are you nervous?	Êtes-vous nerveuse ?
Give me a week.	Donne-moi une semaine.
They asked him.	Elles lui ont demandé.
Be prepared.	Tenez-vous prêts !
I'm illiterate.	Je suis analphabète.
We're finished.	Nous avons fini.
I must hide.	Je dois me cacher.
I like your tie.	J'aime votre cravate.
They're spies.	Ce sont des espions.
Don't wait.	N'attendez pas !
I feel faint.	Je sens que je vais m'évanouir.
It's inadequate.	C'est insuffisant.
She scolded him.	Elle le sermonna.
I like it a lot.	Ça me plaît beaucoup.
I'm a masochist.	Je suis masochiste.
Who will pay?	Qui paiera ?
I'm tired now.	Je suis fatigué maintenant.
I've messed up.	J'ai merdé.
I like talking.	Il me plaît de causer.
I guessed right.	J'ai bien deviné.
She has no fear.	Elle n'a pas peur.
I hate winter.	Je déteste l'hiver.
Where is Paris?	Où se trouve Paris ?
I had no idea.	Je n'avais pas idée.
I remember.	Je m'en rappelle.
I felt bad.	Je me suis senti mal.
That's lame.	C'est faible.
You look smart.	Tu as l'air intelligente.
He likes tea.	Il aime le thé.
God bless you!	Dieu vous bénisse !
I didn't go.	Je n'y suis pas allé.
Tom is kidding.	Tom plaisante.
I'm not a drunk.	Je ne suis pas un ivrogne.
Be prepared.	Soyez prêt !
Trust no one.	Ne fais confiance à personne !
I drive.	Je conduis.
I'm not going.	Je n'y vais pas.
No one spoke.	Personne ne parla.
Call me.	Appelle-moi !
She is a singer.	Elle est chanteuse.
She's a model.	Elle est mannequin.
I freaked out.	J'ai flippé.
Does that count?	Est-ce que ça compte ?
I want to die.	Je veux mourir.
I'm not on duty.	Je suis pas en service.
I made a deal.	J'ai conclu une affaire.
It's an outrage.	Il s'agit d'un outrage.
Man is mortal.	L'homme est mortel.
I'll open it.	Je l'ouvrirai.
We're stuffed.	Nous sommes gavées.
No one flinched.	Personne ne s'est dérobé.
It was ages ago.	C'était il y a des années.
I was wrong.	J'eus tort.
Wipe your nose.	Essuie-toi le nez !
I hate fighting.	Je déteste la bagarre.
Use them all.	Utilisez-les tous !
I'm delighted.	Je suis ravi(e).
I trusted you.	Je te fis confiance.
I need the keys.	Il me faut les clefs.
I'm attentive.	Je suis attentif.
I love camels.	J'adore les chameaux.
I have rights.	Je dispose de droits.
OK, I'm ready.	Bon, je suis prête.
It's started.	C'est commencé.
Tom liked that.	Tom a aimé ça.
That's weird.	C'est bizarre.
It could be Tom.	Cela pourrait être Tom.
I must refuse.	Il me faut refuser.
Be reasonable.	Sois raisonnable !
Are you ready?	Prêts ?
Catch you later.	À plus tard !
How old is Tom?	Quel âge a Tom ?
I'll be fine.	Ça va aller.
That's the one.	C'est celle-là.
He grew old.	Il est devenu vieux.
It's obsolete.	C'est dépassé.
Shut that door.	Ferme cette porte !
I'm attentive.	Je suis attentive.
No one smiled.	Personne n'a souri.
You drive.	Vous conduisez.
I became rich.	Je devins riche.
I'm nearsighted.	Je suis myope.
I'm stuck.	Je suis coincée.
It's all I need.	C'est tout ce dont j'ai besoin.
What a pity!	Dommage !
He's not in.	Il n'est pas là.
I went, too.	J'y suis allé, également.
I'm your doctor.	Je suis votre médecin.
I'm a foreigner.	Je suis un étranger.
I like you.	Je t'aime.
I rescued you.	Je vous ai sauvé.
Hey, wait up!	Hé, un moment !
Call a doctor.	Appelle un médecin !
I remember her.	Je me souviens d'elle.
Call us.	Appelle-nous !
She trusts him.	Elle se fie à lui.
I think so, too.	Oui, je le pense aussi.
Cover it up.	Couvrez-le.
I called him up.	Je lui ai téléphoné.
Pull over here.	Arrête-toi ici !
I play piano.	Je joue du piano.
I'm OK.	Je vais bien.
Were you happy?	Étais-tu heureuse ?
That's funny.	C'est drôle.
He is a painter.	Il est peintre.
I was drugged.	J'ai été drogué.
Be a man.	Soyez un homme !
Tom paints.	Tom peint.
I have orders.	J'ai des ordres.
It's our duty.	C'est notre devoir.
He was lucky.	Il a eu de la chance.
I came by train.	Je suis venu en train.
Lend me a hand.	Passe-moi un coup de main.
I'll guide you.	Je vous guiderai.
It's for you.	C'est pour vous.
Cows give milk.	Les vaches donnent du lait.
Keep talking.	Continuez de parler.
Answer Tom.	Répondez à Tom.
It'll be tricky.	Ça sera délicat.
Go outside.	Sors.
I'm not alarmed.	Je ne m'alarme pas.
No one came.	Personne n'est venu.
I said shut up!	J'ai dit de la fermer !
She kept quiet.	Elle s'est tenue tranquille.
Is it serious?	C'est grave ?
Don't rub it in.	Ne le serinez pas !
I am so sorry.	Je suis tellement désolé !
Give me a sec.	Donne-moi une seconde.
I'm frantic.	Je suis affolé.
Is that a bat?	S'agit-il d'une chauve-souris ?
Bring wine.	Apporte du vin.
I'm fair.	Je suis juste.
I saw it first.	Je l'ai vu en premier.
Don't kid me!	Ne me charriez pas !
I'm not staying.	Je ne reste pas.
No one died.	Personne n'est mort.
Keep the change!	Gardez la monnaie !
It sounded easy.	Ça semblait aisé.
School is over.	L'école est terminée.
I must go.	Je dois partir.
Tom is starved.	Tom meurt de faim.
I'm cooperating.	Je suis en train de coopérer.
Do you know him?	Le connaissez-vous ?
We're kidding.	Nous plaisantons.
Is it painful?	Est-ce douloureux ?
I guess so.	Je le suppose.
We're the best.	Nous sommes les meilleurs.
I use it.	Je l'utilise.
Attack!	Attaquez !
No one arrived.	Personne n'est arrivé.
I hate milk.	Je déteste le lait.
You have to go.	Tu dois y aller.
Tom isn't safe.	Tom n'est pas à l'abri.
I hope not.	J'espère que non.
Tom was lonely.	Tom était seul.
This is a fork.	C'est une fourchette.
Let's sit down.	Asseyons-nous.
Open your mouth.	Ouvrez la bouche !
I let them go.	Je les ai laissées y aller.
I had no idea.	Je n'avais aucune idée.
How are you now?	Comment allez-vous maintenant ?
I needed help.	J'ai eu besoin d'aide.
It's ironic.	C'est ironique.
I want you back.	Je veux que vous soyez revenues.
This is bad.	C'est pas bon.
It looked real.	Ça avait l'air réel.
It looked awful.	Ça avait l'air atroce.
Take care.	Prends soin de toi.
Is it dangerous?	Est-ce dangereux ?
Bring the key.	Emmène la clé.
Cut it out!	Arrêtez !
Call me.	Appellez-moi !
It's cloudy.	Le temps est couvert.
I met them.	Je les ai rencontrées.
Try to find it.	Essaie de le trouver.
I can do it.	J'arrive à le faire.
I'm tired of it.	J'en ai ras le bol.
I sell cars.	Je vends des voitures.
Answer me.	Répondez-moi.
I felt cheated.	Je me sentis trahie.
We're not cops.	Nous ne sommes pas flics.
I'm observant.	Je suis respectueuse.
You're moody.	Tu es lunatique.
He respects me.	Il me respecte.
Please help me.	Je te prie de m'aider.
I feel queasy.	Je me sens mal à l'aise.
Let's hurry up.	Dépêchons-nous.
Have a look.	Regarde !
Must I hurry?	Dois-je me dépêcher ?
No one knew it.	Personne ne le savait.
Are you envious?	Êtes-vous envieuses ?
Slow down.	Ralentis !
They're coming.	Elles sont en train d'arriver.
Go home now.	Va à la maison, maintenant.
Were you shot?	T'a-t-on tiré dessus ?
It's sad.	C’est triste.
I don't need it.	Je n'en ai pas besoin.
Don't laugh.	Ne ris pas.
I kissed Tom.	J'ai embrassé Tom.
They all drank.	Ils ont tous bu.
Let's kiss.	Embrassons-nous.
You'd love it.	Tu adorerais ça.
I can buy one.	Je peux en acheter une.
Ladies first.	Les femmes d'abord.
I hate to iron.	Je déteste repasser.
He never laughs.	Il ne rit jamais.
They gave up.	Elles abandonnèrent.
I hate you both.	Je vous déteste toutes les deux.
Let me try.	Laissez-moi essayer.
We're ruthless.	Nous sommes impitoyables.
I need to know.	J'ai besoin de le savoir.
Who broke this?	Qui l'a cassé ?
Sweet dreams!	Faites de beaux rêves !
I want a job.	Je veux un boulot.
Is he sleeping?	Il dort ?
I had to stop.	Il me fallut cesser.
Just ignore it.	Ignore-le simplement !
Thanks so much.	Mille mercis.
She is out now.	Elle est en déplacement en ce moment.
I was warned.	J'ai été prévenu.
They adore Tom.	Ils adorent Tom.
Tom's harmless.	Tom est inoffensif.
Empty your bags.	Videz vos sacs.
I'm an artist.	Je suis une artiste.
He could die.	Il se pourrait qu'il meure.
Can you skip me?	Tu peux me lâcher ?
It's a fad.	C'est un phénomène de mode.
They ruined it.	Ils l'ont détruit.
Who's that boy?	Qui est ce garçon ?
How old are you?	Quel âge as-tu ?
I believed you.	Je vous ai cru.
Let's go by car.	Allons-y en voiture.
You're grumpy.	Vous êtes bougon.
I can't go.	Je ne peux pas m'y rendre.
Wait a bit.	Attends une seconde !
Can they see us?	Peuvent-elles nous voir ?
Be very careful.	Soyez très prudentes !
I had doubts.	J'avais des doutes.
It's nothing.	Ce n'est rien.
He is busy.	Il a à faire.
We're certain.	Nous sommes certaines.
That was sweet.	C'était sucré.
I'm no quitter.	Je n'abandonne pas si facilement.
They lost.	Elles ont perdu.
You're no fun.	Tu n'es pas drôle.
He's mine.	Il est à moi.
They swam.	Elles nagèrent.
I like stories.	J'aime les histoires.
I'm back.	Me revoilà.
I wrote it.	C'est moi qui l'ai écrit.
She's a cutie.	C'est une beauté.
Can I have one?	Puis-je en avoir un ?
I hate spinach.	Je déteste les épinards.
Autumn is here.	L'automne est là.
Tom is lying.	Tom ment.
The dog barked.	Le chien aboyait.
They want more.	Ils en veulent davantage.
Are you alone?	Es-tu seule ?
He's my partner.	C'est mon compagnon.
Is he looking?	Est-il en train de regarder ?
Give Tom a call.	Appelez Tom.
You're good.	Tu es bonne.
I must go alone.	Il me faut y aller seul.
Wish me luck.	Souhaitez-moi chance !
Be a good boy.	Soyez un chic type !
Who is next?	À qui le tour ?
Be serious.	Sois sérieuse !
Draw me a sheep.	Dessine-moi un mouton...
I went twice.	Je m'y suis rendu à deux reprises.
Be attentive.	Sois attentive.
I didn't flunk.	Je n'ai pas été recalée.
Are you envious?	Es-tu jalouse ?
Come back home.	Reviens à la maison.
You're selfish.	Tu es égoïste.
Thanks a bunch.	Merci bien.
Go home quickly.	Rentre vite à la maison.
Are you excited?	Es-tu énervé ?
Is this fake?	Est-ce un pastiche ?
I had a bad day.	J'ai eu une mauvaise journée.
Look at that!	Regardez ça !
I like English.	J'aime l'anglais.
Can I sit here?	Puis-je m'asseoir ici ?
I'm vegetarian.	Je suis végétarienne.
You're so mean.	Tu es si méchante.
Can they see me?	Sont-elles en mesure de me voir ?
They're mine.	Ils sont miens.
My bag is empty.	Mon sac est vide.
He shall die.	Il doit mourir.
Here she comes.	La voilà !
He was standing.	Il se tenait debout.
Get the box.	Prends la boîte.
I can't see.	Je suis aveugle.
Girls are crazy.	Les filles sont givrées.
That dog jumped.	Ce chien a sauté.
Is she at home?	Est-elle chez elle ?
We're doctors.	Nous sommes médecins.
We'll explain.	Nous expliquerons.
I got fined.	J'ai pris une prune.
Stay very still.	Reste bien tranquille !
Can you pitch?	Savez-vous donner le ton ?
I'm starved.	J'ai la dalle.
We might die.	Il se pourrait que nous mourions.
They hate us.	Elles nous détestent.
A car hit Tom.	Tom a été heurté par une voiture.
We're trapped!	Nous sommes piégées !
I'm a father.	Je suis papa.
I'm alive.	Je suis vivante.
Is that so bad?	Est-ce si mal ?
Walk this way.	Par ici !
Get in the car.	Grimpez dans la voiture !
Leave our house.	Quittez notre maison !
Are you sure?	Êtes-vous sûres ?
Isn't that ours?	N'est-ce pas à nous ?
I'm not kidding.	Je ne blague pas.
Eat more fruit.	Mange plus de fruits.
He was perfect.	Il a été parfait.
How big you are!	Qu'est-ce que tu es grand !
We all know.	Nous le savons toutes.
No one cares.	Tout le monde s'en fiche.
Make some noise!	Faites du bruit !
We're baffled.	Nous sommes perplexes.
They have come.	Ils sont arrivés.
She died.	Elle est morte.
I quit smoking.	J'ai arrêté de fumer.
Do it again!	Fais-le encore une fois !
Start here.	Commencez ici.
It's a bargain.	Affaire conclue !
It feels silly.	Ça semble idiot.
I don't smoke.	Je ne fume pas.
Write in ink.	Ecrivez à l'encre.
I'll do my best.	Je ferai de mon mieux.
Need a lift?	T'as besoin d'un chauffeur ?
Go slow.	Va doucement !
I love you all.	Je vous adore tous.
Be ruthless.	Soyez impitoyables !
It's yours.	C'est la vôtre.
Are you relaxed?	Êtes-vous détendu ?
I'm experienced.	J'ai de l'expérience.
Be sensible.	Sois raisonnable !
I'm really old.	Je suis vraiment vieux.
Please be quiet.	Veuillez garder le silence.
I can help you.	Je peux vous aider.
Do you like it?	Ça te plaît ?
I'll buy a Ford.	J'achèterai une Ford.
I feel horrible.	Je me sens super mal.
I was pardoned.	J'ai été gracié.
You're biased.	Tu es partiale.
I stole a gun.	J'ai volé une arme à feu.
It's awful.	C'est affreux.
Are you thirsty?	Avez-vous soif ?
We all change.	Nous changeons tous.
She shrieked.	Elle a crié.
You're elusive.	Vous êtes insaisissable.
It was worth it.	Ça valait le coup.
No one's around.	Personne n'est aux alentours.
Is it dangerous?	Est-ce périlleux ?
They're early.	Ils sont en avance.
He is a student.	Il est étudiant.
Aren't you hot?	N'as-tu pas chaud ?
I'm no saint.	Je ne suis pas une sainte.
You're sneaky.	Vous êtes sournoises.
Who are you?	Qui es-tu ?
I understand.	Je comprends.
I'm untalented.	Je n'ai pas de talent.
You're drunk.	Vous êtes saouls.
She can't ski.	Elle ne sait pas skier.
Take the wheel.	Prends le volant.
Tom felt sick.	Tom se sentit mal à l'aise.
I'm stuffed.	Je suis gavée.
They need him.	Elles ont besoin de lui.
Am I understood?	Suis-je compris ?
I finished last.	J'ai terminé dernière.
Don't be scared.	N'aie pas peur.
He got very mad.	Il s'est mis très en colère.
I do worry.	Je me fais vraiment du souci.
She's pregnant.	Elle attend un heureux événement.
They said no.	Ils dirent non.
I'm thrilled.	Je suis ravi.
Step back.	Recule !
She's awesome.	Elle est super.
Can you stay?	Pouvez-vous rester ?
Open the bottle.	Ouvrez la bouteille.
Cows give milk.	Les vaches produisent du lait.
You work hard.	Vous travaillez dur.
Take mine.	Prends la mienne.
She tempted him.	Elle le tenta.
Stay with us.	Reste avec nous.
Tom wanted it.	Tom la voulait.
It's spring.	C'est le printemps.
I went inside.	J'y ai pénétré.
That was quick.	Ce fut rapide.
I'm drunk.	Je suis saoul.
Tom loves you.	Tom vous aime.
Bees make honey.	Les abeilles font du miel.
I'll find you.	Je te trouverai.
I have had it.	J'en ai ma claque.
You seem busy.	Vous semblez occupés.
Dinner's at six.	Le dîner est à six heures.
Give it to her.	Donne-le-lui.
Did you forget?	As-tu oublié ?
How horrible!	Quelle horreur !
Can he see us?	Est-il en mesure de nous voir ?
You're psyched.	T'es remontée.
It's exciting.	C'est passionnant.
Look who's here.	Regarde qui est là.
Tom is outside.	Tom est dehors.
How big you are!	Que tu es grande !
Forget it.	Oublie.
I am lazy.	Je suis fainéante.
You're crazy.	Tu es fou.
Did Tom eat?	Tom a-t-il mangé ?
You're all mad.	Vous êtes toutes folles.
Are you Chinese?	Êtes-vous chinois ?
You're pretty.	Tu es jolie.
They voted.	Ils ont voté.
You're naive.	Vous êtes naïve.
You run.	Tu cours.
Give him a hug.	Fais-lui un câlin !
I need them.	J'ai besoin d'elles.
Look out!	Attention !
I raise orchids.	Je cultive des orchidées.
I have food.	J'ai de la nourriture.
Can I touch it?	Est-ce que j'ai le droit d'y toucher ?
I'm sure of it.	Je suis certain de ça.
Those are good.	Ceux-ci sont bons.
Do you smoke?	Fumes-tu ?
We didn't kiss.	On ne s'est pas embrassés.
He's a grouch.	C'est un rouspéteur.
I won the fight.	J'ai gagné le combat.
I'm powerful.	Je suis puissant.
Let's be frank.	Soyons francs.
I am okay.	Je vais bien.
We're done.	Nous avons terminé.
I saved you.	Je vous ai sauvées.
I made her cry.	Je l'ai fait pleurer.
Are you new?	Tu es nouveau ?
Wake up!	Réveille-toi !
He bought a car.	Il acheta une voiture.
I stayed.	Je suis restée.
She plays Bach.	Elle joue du Bach.
I'll never stop.	Je ne cesserai jamais.
No one saw that.	Personne ne l'a vu.
Be nice to her.	Sois gentil avec elle !
We're bored.	On s'emmerde.
Let it be.	Ainsi soit-il.
Hurry up, girls.	Magnez-vous, les filles !
I caught a fish!	J'ai attrapé un poisson !
It'll break.	Ça va rompre.
I'm well.	Je me porte bien.
I'm too busy.	Je suis trop affairée.
It's occupied.	C'est occupé.
He shot at me.	Il me tira dessus.
Tom stopped it.	Tom l'a arrêtée.
That is mine.	C'est le mien.
I made muffins.	J'ai fait des muffins.
It blew my mind.	Ça m'a explosé la tête.
That's not why.	Ça n'en est pas la raison.
Why do you ask?	Pourquoi demandes-tu ?
They found out.	Elles l'ont démasqué.
Can you hear us?	Parvenez-vous à nous entendre ?
Don't mock me.	Ne te moque pas de moi.
You're naive.	Vous êtes naïves.
We're enemies.	Nous sommes ennemies.
Is she married?	Est-elle mariée ?
Stop Tom.	Stoppez Tom.
I'll handle it.	Je m'en chargerai.
How good is he?	Jusqu'à quel point est-il bon ?
I feel normal.	Je me sens normal.
I feel blessed.	Je me sens bénite.
Are those yours?	Est-ce les tiennes ?
Follow us.	Suis-nous !
I get off here.	Je descends ici.
Is anyone hurt?	Quiconque est-il blessé ?
I'm extroverted.	Je suis extraverti.
He passed away.	Il est décédé.
Bring wine.	Apportez du vin.
We can meet.	Nous pouvons nous rencontrer.
I was excited.	J'étais excité.
I'm no hero.	Je ne suis pas un héros.
She was busy.	Elle était occupée.
Let's wait here.	Attendons ici.
I totally agree.	Je suis entièrement d'accord.
It was OK.	C'était bon.
Are you awake?	Es-tu réveillée?
May I begin?	Puis-je commencer ?
Are we done?	Avons-nous terminé ?
I had a stroke.	J'ai fait un AVC.
He sold us out.	Il nous a vendues.
Many thanks.	Merci beaucoup !
Don't leave us.	Ne nous quittez pas !
That was close.	C'était moins une.
Please open it.	Ouvre-le, je te prie !
Here's the bill.	Voici la facture.
Are we finished?	En avons-nous terminé ?
We'll be there.	Nous serons là.
It's warmer.	C'est plus chaud.
I remembered it.	Je m'en souvins.
I saw one.	J'en ai vu un.
I want a lawyer.	Je veux un avocat.
We caught you.	Nous vous avons attrapée.
They're broke.	Elles sont fauchées.
I miss college.	J'ai la nostalgie de la fac.
Come back in.	Reviens à l'intérieur.
I agree.	Je suis du même avis.
How big you are!	Comme vous êtes grands !
I outrank you.	Je passe avant vous.
We missed you.	Vous nous avez manqué.
I did my job.	J'ai effectué mon boulot.
I love you.	Je t'aime.
I'll be in town.	Je serai en ville.
We'll go.	Nous irons.
Stop being nosy.	Ne vous mêlez pas de ce qui ne vous regarde pas.
Try this sauce.	Essaie cette sauce.
We're so sorry.	Nous sommes tellement désolés.
It's a fad.	C'est une tocade.
Take this.	Prenez ça.
Come home early.	Rentre tôt à la maison.
I fell.	Je suis tombé.
I've messed up.	J'ai tout foutu en l'air.
I hate my voice.	Je déteste ma voix.
You seem upset.	Tu sembles contrarié.
Can I keep this?	Puis-je garder ceci ?
How do you know?	Comment le sais-tu ?
Tom smokes.	Tom fume.
Let him in.	Laisse-le entrer.
I hear laughing.	J'entends rire.
Tom's left.	Tom partit.
Just do it.	Fais-le donc !
This is love.	C'est l'amour.
I was dismissed.	On m'a licencié.
Is that a crime?	Est-ce un crime ?
Just ignore it.	N'y prêtez simplement pas attention !
I believed you.	Je t'ai cru.
We're not fit.	Nous ne sommes pas en forme.
I started it.	Je l'ai démarrée.
Put it back.	Remets-le en place !
I am so sick.	Je suis tellement malade.
You're fired.	Tu es licencié.
I'll trust you.	Je me fierai à toi.
Are you injured?	Es-tu blessée ?
No one can see.	Personne ne peut voir.
I have a lawyer.	J'ai un avocat.
